cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 2, 1, 0.99, 0, 0
2, 0, 2, 2, 1, 0.98901, 2, 1
3, 0, 2, 1, 1, 0.988021, 4, 1.33333
4, 0, 0, 2, 1, 0.987033, 4, 1
5, 2, 1, 1, 1, 0.986046, 5, 1
6, 2, 2, 2, 1, 0.98506, 7, 1.16667
7, 2, 1, 1, 1, 0.984075, 8, 1.14286
8, 1, 1, 2, 0, 0.983091, 9, 1.125
9, 2, 1, 0, 1, 0.982108, 10, 1.11111
10, 2, 0, 1, 1, 0.981126, 10, 1
11, 2, 2, 0, 1, 0.980144, 12, 1.09091
12, 1, 2, 0, 1, 0.979164, 14, 1.16667
13, 0, 1, 2, 1, 0.978185, 15, 1.15385
14, 1, 0, 2, 1, 0.977207, 15, 1.07143
15, 1, 0, 2, 1, 0.97623, 15, 1
16, 2, 1, 0, 1, 0.975254, 16, 1
17, 2, 0, 1, 1, 0.974278, 16, 0.941176
18, 2, 2, 0, 1, 0.973304, 18, 1
19, 0, 1, 2, 1, 0.972331, 19, 1
20, 2, 1, 0, 1, 0.971358, 20, 1
21, 0, 1, 2, 1, 0.970387, 21, 1
22, 1, 0, 1, 1, 0.969417, 21, 0.954545
23, 2, 2, 2, 1, 0.968447, 23, 1
24, 0, 2, 1, 1, 0.967479, 25, 1.04167
25, 2, 2, 2, 1, 0.966511, 27, 1.08
26, 1, 0, 1, 1, 0.965545, 27, 1.03846
27, 2, 2, 2, 1, 0.964579, 29, 1.07407
28, 1, 0, 2, 1, 0.963615, 29, 1.03571
29, 2, 1, 2, 1, 0.962651, 30, 1.03448
30, 1, 0, 2, 1, 0.961688, 30, 1
31, 2, 1, 1, 1, 0.960727, 31, 1
32, 2, 2, 2, 1, 0.959766, 33, 1.03125
33, 1, 0, 1, 1, 0.958806, 33, 1
34, 1, 1, 1, 1, 0.957847, 34, 1
35, 2, 2, 2, 1, 0.95689, 36, 1.02857
36, 1, 0, 1, 1, 0.955933, 36, 1
37, 1, 1, 0, 1, 0.954977, 37, 1
38, 1, 2, 1, 1, 0.954022, 39, 1.02632
39, 0, 0, 2, 1, 0.953068, 39, 1
40, 0, 2, 2, 1, 0.952115, 41, 1.025
41, 0, 2, 0, 1, 0.951163, 43, 1.04878
42, 2, 0, 0, 1, 0.950211, 43, 1.02381
43, 2, 0, 2, 1, 0.949261, 43, 1
44, 2, 1, 1, 1, 0.948312, 44, 1
45, 1, 1, 0, 1, 0.947364, 45, 1
46, 0, 1, 0, 1, 0.946416, 46, 1
47, 0, 1, 1, 1, 0.94547, 47, 1
48, 2, 2, 2, 1, 0.944524, 49, 1.02083
49, 1, 0, 0, 1, 0.94358, 49, 1
50, 2, 0, 0, 1, 0.942636, 49, 0.98
51, 2, 0, 2, 1, 0.941694, 49, 0.960784
52, 2, 1, 1, 1, 0.940752, 50, 0.961538
53, 0, 0, 0, 1, 0.939811, 50, 0.943396
54, 1, 2, 2, 1, 0.938871, 52, 0.962963
55, 0, 2, 1, 1, 0.937932, 54, 0.981818
56, 1, 1, 1, 1, 0.936995, 55, 0.982143
57, 0, 0, 0, 0, 0.936058, 55, 0.964912
58, 2, 0, 2, 1, 0.935121, 55, 0.948276
59, 2, 1, 2, 1, 0.934186, 56, 0.949153
60, 1, 0, 0, 1, 0.933252, 56, 0.933333
61, 1, 2, 0, 1, 0.932319, 58, 0.95082
62, 2, 0, 2, 1, 0.931387, 58, 0.935484
63, 2, 1, 2, 1, 0.930455, 59, 0.936508
64, 1, 0, 0, 1, 0.929525, 59, 0.921875
65, 0, 1, 2, 1, 0.928595, 60, 0.923077
66, 2, 1, 2, 1, 0.927667, 61, 0.924242
67, 2, 1, 2, 1, 0.926739, 62, 0.925373
68, 1, 0, 2, 1, 0.925812, 62, 0.911765
69, 0, 2, 1, 1, 0.924886, 64, 0.927536
70, 1, 1, 1, 1, 0.923962, 65, 0.928571
71, 2, 2, 2, 1, 0.923038, 67, 0.943662
72, 1, 0, 2, 1, 0.922115, 67, 0.930556
73, 2, 1, 1, 1, 0.921192, 68, 0.931507
74, 2, 2, 2, 1, 0.920271, 70, 0.945946
75, 0, 2, 0, 1, 0.919351, 72, 0.96
76, 0, 1, 2, 1, 0.918432, 73, 0.960526
77, 0, 2, 0, 1, 0.917513, 75, 0.974026
78, 2, 0, 2, 1, 0.916596, 75, 0.961538
79, 2, 1, 1, 0, 0.915679, 76, 0.962025
80, 0, 0, 2, 1, 0.914763, 76, 0.95
81, 1, 0, 2, 1, 0.913849, 76, 0.938272
82, 1, 0, 2, 0, 0.912935, 76, 0.926829
83, 1, 0, 0, 1, 0.912022, 76, 0.915663
84, 2, 0, 1, 1, 0.91111, 76, 0.904762
85, 2, 2, 2, 1, 0.910199, 78, 0.917647
86, 1, 0, 2, 1, 0.909288, 78, 0.906977
87, 2, 1, 1, 1, 0.908379, 79, 0.908046
88, 1, 1, 0, 1, 0.907471, 80, 0.909091
89, 1, 2, 1, 1, 0.906563, 82, 0.921348
90, 0, 0, 2, 1, 0.905657, 82, 0.911111
91, 1, 0, 0, 0, 0.904751, 82, 0.901099
92, 2, 0, 2, 1, 0.903846, 82, 0.891304
93, 2, 1, 2, 1, 0.902943, 83, 0.892473
94, 0, 2, 0, 1, 0.90204, 85, 0.904255
95, 2, 0, 2, 1, 0.901138, 85, 0.894737
96, 2, 1, 0, 1, 0.900236, 86, 0.895833
97, 1, 2, 0, 1, 0.899336, 88, 0.907216
98, 1, 2, 0, 1, 0.898437, 90, 0.918367
99, 2, 0, 0, 1, 0.897538, 90, 0.909091
100, 2, 0, 1, 1, 0.896641, 90, 0.9
101, 2, 2, 2, 1, 0.895744, 92, 0.910891
102, 1, 0, 1, 1, 0.894848, 92, 0.901961
103, 2, 2, 1, 1, 0.893954, 94, 0.912621
104, 2, 2, 0, 1, 0.89306, 96, 0.923077
105, 2, 0, 2, 1, 0.892167, 96, 0.914286
106, 2, 1, 0, 0, 0.891274, 97, 0.915094
107, 2, 0, 0, 1, 0.890383, 97, 0.906542
108, 2, 0, 0, 1, 0.889493, 97, 0.898148
109, 2, 0, 0, 1, 0.888603, 97, 0.889908
110, 2, 0, 2, 0, 0.887715, 97, 0.881818
111, 2, 1, 0, 1, 0.886827, 98, 0.882883
112, 1, 2, 0, 1, 0.88594, 100, 0.892857
113, 1, 2, 0, 0, 0.885054, 102, 0.902655
114, 2, 0, 2, 0, 0.884169, 102, 0.894737
115, 2, 1, 2, 1, 0.883285, 103, 0.895652
116, 0, 2, 1, 0, 0.882402, 105, 0.905172
117, 2, 2, 0, 1, 0.881519, 107, 0.91453
118, 1, 2, 2, 0, 0.880638, 109, 0.923729
119, 0, 2, 0, 1, 0.879757, 111, 0.932773
120, 1, 2, 0, 1, 0.878877, 113, 0.941667
121, 2, 0, 1, 1, 0.877999, 113, 0.933884
122, 2, 2, 2, 1, 0.877121, 115, 0.942623
123, 2, 1, 0, 1, 0.876243, 116, 0.943089
124, 2, 0, 2, 1, 0.875367, 116, 0.935484
125, 2, 1, 1, 1, 0.874492, 117, 0.936
126, 2, 2, 2, 1, 0.873617, 119, 0.944444
127, 0, 2, 0, 1, 0.872744, 121, 0.952756
128, 1, 2, 0, 1, 0.871871, 123, 0.960938
129, 1, 2, 0, 1, 0.870999, 125, 0.968992
130, 1, 2, 1, 1, 0.870128, 127, 0.976923
131, 0, 0, 2, 1, 0.869258, 127, 0.969466
132, 2, 1, 1, 1, 0.868389, 128, 0.969697
133, 1, 1, 1, 1, 0.86752, 129, 0.969925
134, 1, 1, 0, 1, 0.866653, 130, 0.970149
135, 1, 2, 0, 1, 0.865786, 132, 0.977778
136, 2, 0, 2, 1, 0.86492, 132, 0.970588
137, 2, 1, 1, 1, 0.864055, 133, 0.970803
138, 2, 2, 0, 1, 0.863191, 135, 0.978261
139, 1, 2, 2, 1, 0.862328, 137, 0.985612
140, 2, 1, 0, 1, 0.861466, 138, 0.985714
141, 0, 1, 2, 1, 0.860604, 139, 0.985816
142, 2, 1, 1, 1, 0.859744, 140, 0.985915
143, 1, 1, 1, 1, 0.858884, 141, 0.986014
